date,nav_per_unit,short_name
13-04-20,14319.77,SSISCA
14-04-20,14552.51,SSISCA
15-04-20,14715.96,SSISCA
16-04-20,14936.1,SSISCA
17-04-20,15064.26,SSISCA
20-04-20,15451.85,SSISCA
21-04-20,15686.67,SSISCA
22-04-20,15222.15,SSISCA
23-04-20,15409.63,SSISCA
24-04-20,15515.19,SSISCA
27-04-20,15595.58,SSISCA
28-04-20,15673.53,SSISCA
29-04-20,15642.69,SSISCA
30-04-20,15641.85,SSISCA
04-05-20,15640.37,SSISCA
05-05-20,15491.02,SSISCA
06-05-20,15469.49,SSISCA
07-05-20,15636.73,SSISCA
08-05-20,15782.05,SSISCA
11-05-20,15865.76,SSISCA
12-05-20,15939.82,SSISCA
13-05-20,16004.29,SSISCA
14-05-20,16130.67,SSISCA
15-05-20,16083.04,SSISCA
18-05-20,15971.13,SSISCA
19-05-20,16195.67,SSISCA
20-05-20,16367.3,SSISCA
21-05-20,16460.97,SSISCA
22-05-20,16534.3,SSISCA
25-05-20,16467.67,SSISCA
26-05-20,16610.8,SSISCA
27-05-20,16756.33,SSISCA
28-05-20,16613.94,SSISCA
29-05-20,16628.62,SSISCA
31-05-20,16649.02,SSISCA
01-06-20,16649.02,SSISCA
02-06-20,16691.73,SSISCA
03-06-20,16715.67,SSISCA
04-06-20,16817.94,SSISCA
05-06-20,16768.39,SSISCA
08-06-20,16788.46,SSISCA
09-06-20,17018.07,SSISCA
10-06-20,16905.12,SSISCA
11-06-20,16946.2,SSISCA
12-06-20,16501.84,SSISCA
15-06-20,16560.55,SSISCA
16-06-20,16244.8,SSISCA
17-06-20,16456.42,SSISCA
18-06-20,16450.11,SSISCA
19-06-20,16524.6,SSISCA
22-06-20,16621.06,SSISCA
23-06-20,16665.07,SSISCA
24-06-20,16653.77,SSISCA
25-06-20,16641.36,SSISCA
26-06-20,16560.46,SSISCA
29-06-20,16589.34,SSISCA
30-06-20,16388.44,SSISCA
30-06-20,16342.6,SSISCA
01-07-20,16388.44,SSISCA
02-07-20,16511.52,SSISCA
03-07-20,16589.23,SSISCA
06-07-20,16626.14,SSISCA
07-07-20,16648.87,SSISCA
08-07-20,16695.4,SSISCA
09-07-20,16710.14,SSISCA
10-07-20,16778.73,SSISCA
13-07-20,16700.29,SSISCA
14-07-20,16719.08,SSISCA
15-07-20,16791.48,SSISCA
16-07-20,16800.81,SSISCA
17-07-20,16796.67,SSISCA
20-07-20,16822.74,SSISCA
21-07-20,16717.89,SSISCA
22-07-20,16746.94,SSISCA
23-07-20,16685.09,SSISCA
24-07-20,16695.38,SSISCA
27-07-20,16340.31,SSISCA
28-07-20,15835.15,SSISCA
29-07-20,16206.34,SSISCA
30-07-20,15969.02,SSISCA
31-07-20,16088.59,SSISCA
31-07-20,16092.57,SSISCA
03-08-20,16087.89,SSISCA
04-08-20,16323.84,SSISCA
05-08-20,16367.82,SSISCA
06-08-20,16535.71,SSISCA
07-08-20,16497.95,SSISCA
10-08-20,16503.47,SSISCA
11-08-20,16553.63,SSISCA
12-08-20,16559.57,SSISCA
13-08-20,16568.47,SSISCA
14-08-20,16699.45,SSISCA
17-08-20,16703.55,SSISCA
18-08-20,16731.83,SSISCA
19-08-20,16755.38,SSISCA
20-08-20,16855.5,SSISCA
21-08-20,16858.66,SSISCA
24-08-20,16899.9,SSISCA
25-08-20,17091.84,SSISCA
26-08-20,17235.6,SSISCA
27-08-20,17213.26,SSISCA
28-08-20,17311.09,SSISCA
31-08-20,17328.45,SSISCA
31-08-20,17375.68,SSISCA
01-09-20,17328.45,SSISCA
03-09-20,17383.0,SSISCA
04-09-20,17462.73,SSISCA
07-09-20,17405.0,SSISCA
08-09-20,17198.35,SSISCA
09-09-20,17275.95,SSISCA
10-09-20,17277.87,SSISCA
11-09-20,17334.06,SSISCA
14-09-20,17352.61,SSISCA
15-09-20,17398.93,SSISCA
16-09-20,17430.63,SSISCA
17-09-20,17481.39,SSISCA
18-09-20,17500.28,SSISCA
21-09-20,17573.6,SSISCA
22-09-20,17647.08,SSISCA
23-09-20,17634.18,SSISCA
24-09-20,17719.69,SSISCA
25-09-20,17709.44,SSISCA
28-09-20,17703.89,SSISCA
29-09-20,17774.03,SSISCA
30-09-20,17867.83,SSISCA
30-09-20,17716.78,SSISCA
01-10-20,17867.83,SSISCA
02-10-20,17970.99,SSISCA
05-10-20,17876.68,SSISCA
06-10-20,18024.51,SSISCA
07-10-20,18138.72,SSISCA
08-10-20,18170.88,SSISCA
09-10-20,18190.27,SSISCA
12-10-20,18211.38,SSISCA
13-10-20,18112.92,SSISCA
14-10-20,18094.01,SSISCA
15-10-20,18150.61,SSISCA
16-10-20,18187.75,SSISCA
19-10-20,18239.32,SSISCA
20-10-20,18199.85,SSISCA
21-10-20,18200.78,SSISCA
22-10-20,18140.06,SSISCA
23-10-20,18264.25,SSISCA
26-10-20,18390.65,SSISCA
27-10-20,18409.59,SSISCA
28-10-20,18386.74,SSISCA
29-10-20,18057.92,SSISCA
30-10-20,18093.02,SSISCA
31-10-20,18172.9,SSISCA
02-11-20,18172.42,SSISCA
02-11-20,18172.42,SSISCA
03-11-20,18227.71,SSISCA
03-11-20,18227.71,SSISCA
04-11-20,18292.79,SSISCA
04-11-20,18292.79,SSISCA
05-11-20,18342.74,SSISCA
06-11-20,18300.53,SSISCA
06-11-20,18300.53,SSISCA
09-11-20,18329.08,SSISCA
09-11-20,18329.08,SSISCA
10-11-20,18578.0,SSISCA
10-11-20,18578.0,SSISCA
11-11-20,18649.96,SSISCA
11-11-20,18649.96,SSISCA
12-11-20,18677.54,SSISCA
12-11-20,18677.54,SSISCA
13-11-20,18696.37,SSISCA
16-11-20,18811.42,SSISCA
17-11-20,18693.44,SSISCA
18-11-20,18933.45,SSISCA
19-11-20,19002.09,SSISCA
20-11-20,19156.54,SSISCA
23-11-20,19190.79,SSISCA
24-11-20,19469.69,SSISCA
25-11-20,19582.13,SSISCA
26-11-20,19500.56,SSISCA
27-11-20,19378.43,SSISCA
30-11-20,19599.48,SSISCA
01-12-20,19568.95,SSISCA
02-12-20,19656.64,SSISCA
03-12-20,19671.83,SSISCA
04-12-20,19733.53,SSISCA
07-12-20,19695.38,SSISCA
08-12-20,19827.11,SSISCA
09-12-20,19803.25,SSISCA
10-12-20,19965.29,SSISCA
11-12-20,19842.45,SSISCA
14-12-20,19980.73,SSISCA
16-12-20,20223.67,SSISCA
17-12-20,20424.94,SSISCA
18-12-20,20816.23,SSISCA
22-12-20,21089.18,SSISCA
23-12-20,21218.23,SSISCA
24-12-20,21187.98,SSISCA
25-12-20,21015.24,SSISCA
28-12-20,21233.23,SSISCA
29-12-20,21265.02,SSISCA
30-12-20,21334.18,SSISCA
31-12-20,21344.1,SSISCA
07-01-21,21994.85,SSISCA
08-01-21,22062.59,SSISCA
11-01-21,22200.48,SSISCA
12-01-21,22472.87,SSISCA
13-01-21,22782.59,SSISCA
14-01-21,22741.58,SSISCA
15-01-21,22752.92,SSISCA
18-01-21,22804.57,SSISCA
19-01-21,22670.56,SSISCA
20-01-21,21683.12,SSISCA
21-01-21,21856.14,SSISCA
22-01-21,22373.2,SSISCA
25-01-21,22501.58,SSISCA
26-01-21,22698.06,SSISCA
27-01-21,22423.43,SSISCA
28-01-21,21834.98,SSISCA
29-01-21,20373.1,SSISCA
01-02-21,21338.06,SSISCA
02-02-21,20811.51,SSISCA
03-02-21,21513.21,SSISCA
04-02-21,22093.85,SSISCA
05-02-21,22228.07,SSISCA
08-02-21,22442.84,SSISCA
09-02-21,21907.6,SSISCA
17-02-21,22416.37,SSISCA
18-02-21,23268.77,SSISCA
19-02-21,23547.68,SSISCA
22-02-21,23539.0,SSISCA
23-02-21,23522.7,SSISCA
24-02-21,23462.63,SSISCA
25-02-21,23328.09,SSISCA
26-02-21,23484.35,SSISCA
01-03-21,23708.26,SSISCA
02-03-21,23955.36,SSISCA
03-03-21,24004.07,SSISCA
04-03-21,24080.21,SSISCA
05-03-21,23638.42,SSISCA
08-03-21,23746.3,SSISCA
09-03-21,23765.58,SSISCA
10-03-21,23730.38,SSISCA
11-03-21,23905.76,SSISCA
12-03-21,24136.71,SSISCA
15-03-21,24073.66,SSISCA
16-03-21,24203.22,SSISCA
17-03-21,24310.97,SSISCA
18-03-21,24394.7,SSISCA
19-03-21,24490.33,SSISCA
22-03-21,24562.28,SSISCA
23-03-21,24426.0,SSISCA
24-03-21,24311.6,SSISCA
25-03-21,23831.52,SSISCA
26-03-21,23727.87,SSISCA
29-03-21,23692.37,SSISCA
30-03-21,23949.41,SSISCA
01-04-21,24070.88,SSISCA
02-04-21,24504.34,SSISCA
05-04-21,24558.54,SSISCA
06-04-21,24603.43,SSISCA
07-04-21,24619.71,SSISCA
08-04-21,24706.41,SSISCA
09-04-21,24608.14,SSISCA
13-04-21,25060.93,SSISCA
14-04-21,24744.13,SSISCA
15-04-21,24940.54,SSISCA
16-04-21,24751.68,SSISCA
19-04-21,24554.72,SSISCA
20-04-21,25033.57,SSISCA
22-04-21,25142.18,SSISCA
23-04-21,24618.16,SSISCA
26-04-21,25037.29,SSISCA
28-04-21,24623.24,SSISCA
29-04-21,24735.65,SSISCA
04-05-21,24936.38,SSISCA
05-05-21,25082.95,SSISCA
06-05-21,25318.31,SSISCA
07-05-21,25346.75,SSISCA
10-05-21,25281.2,SSISCA
11-05-21,25640.78,SSISCA
12-05-21,25480.04,SSISCA
13-05-21,25754.63,SSISCA
14-05-21,25577.45,SSISCA
17-05-21,25689.17,SSISCA
18-05-21,25587.9,SSISCA
19-05-21,25734.22,SSISCA
20-05-21,26140.36,SSISCA
21-05-21,26573.16,SSISCA
24-05-21,26520.54,SSISCA
25-05-21,26688.26,SSISCA
26-05-21,26975.77,SSISCA
27-05-21,27103.2,SSISCA
28-05-21,26818.98,SSISCA
31-05-21,27063.15,SSISCA
01-06-21,27394.9,SSISCA
02-06-21,27595.64,SSISCA
03-06-21,27634.15,SSISCA
04-06-21,27968.4,SSISCA
07-06-21,27981.7,SSISCA
08-06-21,27600.59,SSISCA
09-06-21,27031.3,SSISCA
10-06-21,27207.0,SSISCA
11-06-21,27208.16,SSISCA
14-06-21,27811.03,SSISCA
15-06-21,28035.11,SSISCA
16-06-21,28051.0,SSISCA
17-06-21,27915.52,SSISCA
18-06-21,28007.76,SSISCA
21-06-21,28321.19,SSISCA
22-06-21,28353.91,SSISCA
